Latitude (decimal degrees):	-22.760
Longitude (decimal degrees):	-41.888
Elevation (m):	7
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	2750.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0003,0.0,0.0,0.0,23.98,6.62,0.0
20230101:0103,0.0,0.0,0.0,23.88,6.34,0.0
20230101:0203,0.0,0.0,0.0,23.8,6.21,0.0
20230101:0303,0.0,0.0,0.0,23.75,6.55,0.0
20230101:0403,0.0,0.0,0.0,23.7,6.34,0.0
20230101:0503,0.0,0.0,0.0,23.68,6.28,0.0
20230101:0603,0.0,0.0,0.0,23.67,6.41,0.0
20230101:0703,0.0,0.0,0.0,23.63,6.48,0.0
20230101:0803,0.0,0.0,0.0,23.59,6.62,0.0
20230101:0903,241835.0,146.0,11.4,23.59,6.69,0.0
20230101:1003,796565.0,378.0,24.55,23.76,6.28,0.0
20230101:1103,818895.0,379.0,37.97,23.93,6.28,0.0
20230101:1203,1756645.0,799.0,51.57,24.15,6.76,0.0
20230101:1303,2078065.0,955.0,65.29,24.37,6.9,0.0
20230101:1403,2255907.5,1044.0,79.07,24.43,7.03,0.0
20230101:1503,2089835.0,963.0,87.1,24.36,7.59,0.0
20230101:1603,1922057.5,880.0,73.3,24.22,7.93,0.0
20230101:1703,351120.0,174.0,59.54,24.21,7.93,0.0
20230101:1803,613965.0,289.0,45.86,24.23,8.14,0.0
20230101:1903,1009965.0,463.0,32.33,24.33,7.86,0.0
20230101:2003,190465.0,103.0,19.01,24.34,7.66,0.0
20230101:2103,165.0,6.0,6.01,24.24,8.0,0.0
20230101:2203,0.0,0.0,0.0,24.31,7.24,0.0
20230101:2303,0.0,0.0,0.0,24.2,7.72,0.0
20230102:0003,0.0,0.0,0.0,24.09,8.0,0.0
20230102:0103,0.0,0.0,0.0,24.0,8.07,0.0
20230102:0203,0.0,0.0,0.0,23.93,7.72,0.0
20230102:0303,0.0,0.0,0.0,23.85,7.45,0.0
20230102:0403,0.0,0.0,0.0,23.8,7.31,0.0
20230102:0503,0.0,0.0,0.0,23.74,7.03,0.0
20230102:0603,0.0,0.0,0.0,23.69,6.62,0.0
20230102:0703,0.0,0.0,0.0,23.65,6.48,0.0
20230102:0803,0.0,0.0,0.0,23.61,6.62,0.0
20230102:0903,190685.0,110.0,11.28,23.59,6.69,0.0
20230102:1003,531822.5,254.0,24.43,23.24,7.17,0.0
20230102:1103,1304242.5,589.0,37.85,23.36,7.59,0.0
20230102:1203,1802460.0,814.0,51.45,23.48,7.66,0.0
20230102:1303,2124980.0,967.0,65.18,23.57,8.07,0.0
20230102:1403,2312062.5,1057.0,78.97,23.61,8.55,0.0
20230102:1503,2345310.0,1072.0,87.21,23.72,8.97,0.0
20230102:1603,2249610.0,1022.0,73.4,23.75,9.45,0.0
20230102:1703,2014925.0,909.0,59.63,23.84,9.38,0.0
20230102:1803,1618980.0,725.0,45.95,23.83,9.72,0.0
20230102:1903,1139435.0,517.0,32.41,23.93,9.93,0.0
20230102:2003,292325.0,149.0,19.08,23.89,9.66,0.0
20230102:2103,165.0,6.0,6.08,23.82,10.0,0.0
20230102:2203,0.0,0.0,0.0,23.9,9.79,0.0
20230102:2303,0.0,0.0,0.0,23.8,9.59,0.0
20230103:0003,0.0,0.0,0.0,23.7,9.52,0.0
20230103:0103,0.0,0.0,0.0,23.62,9.31,0.0
20230103:0203,0.0,0.0,0.0,23.51,9.31,0.0
20230103:0303,0.0,0.0,0.0,23.4,9.1,0.0
20230103:0403,0.0,0.0,0.0,23.3,9.17,0.0
20230103:0503,0.0,0.0,0.0,23.2,9.31,0.0
20230103:0603,0.0,0.0,0.0,23.12,9.03,0.0
20230103:0703,0.0,0.0,0.0,23.04,9.03,0.0
20230103:0803,0.0,0.0,0.0,22.99,9.03,0.0
20230103:0903,236857.5,144.0,11.15,22.99,8.97,0.0
20230103:1003,722232.5,340.0,24.3,23.07,9.38,0.0
20230103:1103,1070685.0,485.0,37.73,23.29,8.97,0.0
20230103:1203,1332320.0,603.0,51.34,23.62,8.76,0.0
20230103:1303,2122670.0,965.0,65.07,24.04,8.69,0.0
20230103:1403,2289787.5,1050.0,78.86,24.38,8.62,0.0
20230103:1503,2328067.5,1071.0,87.31,24.76,8.69,0.0
20230103:1603,2230002.5,1021.0,73.49,24.96,9.03,0.0
20230103:1703,1983162.5,899.0,59.72,24.92,9.45,0.0
20230103:1803,1622912.5,730.0,46.03,24.85,9.86,0.0
20230103:1903,1126427.5,512.0,32.48,24.48,10.41,0.0
20230103:2003,313775.0,159.0,19.15,24.27,10.28,0.0
20230103:2103,78155.0,67.0,6.13,24.36,9.86,0.0
20230103:2203,0.0,0.0,0.0,24.41,9.52,0.0
20230103:2303,0.0,0.0,0.0,24.21,9.45,0.0
20230104:0003,0.0,0.0,0.0,24.11,9.31,0.0
20230104:0103,0.0,0.0,0.0,24.0,9.38,0.0
20230104:0203,0.0,0.0,0.0,23.88,9.38,0.0
20230104:0303,0.0,0.0,0.0,23.76,8.83,0.0
20230104:0403,0.0,0.0,0.0,23.66,8.07,0.0
20230104:0503,0.0,0.0,0.0,23.59,7.79,0.0
20230104:0603,0.0,0.0,0.0,23.51,7.72,0.0
20230104:0703,0.0,0.0,0.0,23.47,7.59,0.0
20230104:0803,0.0,0.0,0.0,23.49,7.79,0.0
20230104:0903,219230.0,133.0,11.02,23.54,8.07,0.0
20230104:1003,516230.0,248.0,24.18,24.2,8.21,0.0
20230104:1103,1319532.5,596.0,37.61,24.4,8.83,0.0
20230104:1203,1734095.0,783.0,51.23,24.66,8.83,0.0
20230104:1303,2065607.5,943.0,64.96,24.99,8.48,0.0
20230104:1403,2249747.5,1039.0,78.76,25.28,7.93,0.0
20230104:1503,2258602.5,1049.0,87.41,25.46,7.38,0.0
20230104:1603,2167825.0,1005.0,73.59,25.5,7.03,0.0
20230104:1703,1634930.0,750.0,59.81,25.36,7.31,0.0
20230104:1803,1164982.5,534.0,46.11,25.36,7.52,0.0
20230104:1903,517495.0,248.0,32.56,25.22,7.24,0.0
20230104:2003,424902.5,213.0,19.22,25.01,7.24,0.0
20230104:2103,58795.0,45.0,6.19,24.7,7.1,0.0
20230104:2203,0.0,0.0,0.0,24.57,6.83,0.0
20230104:2303,0.0,0.0,0.0,24.51,5.52,0.0
20230105:0003,0.0,0.0,0.0,24.55,5.38,0.0
20230105:0103,0.0,0.0,0.0,24.49,5.24,0.0
20230105:0203,0.0,0.0,0.0,24.23,5.03,0.0
20230105:0303,0.0,0.0,0.0,23.88,4.55,0.0
20230105:0403,0.0,0.0,0.0,23.83,4.97,0.0
20230105:0503,0.0,0.0,0.0,23.35,5.03,0.0
20230105:0603,0.0,0.0,0.0,23.17,4.62,0.0
20230105:0703,0.0,0.0,0.0,23.09,4.28,0.0
20230105:0803,0.0,0.0,0.0,23.03,3.72,0.0
20230105:0903,163982.5,96.0,10.89,23.0,2.62,0.0
20230105:1003,344080.0,172.0,24.05,23.4,2.14,0.0
20230105:1103,715880.0,340.0,37.49,23.44,0.97,0.0
20230105:1203,753445.0,360.0,51.11,23.74,0.48,0.0
20230105:1303,993547.5,468.0,64.85,23.43,1.79,0.0
20230105:1403,995775.0,465.0,78.65,23.4,3.24,0.0
20230105:1503,1025337.5,475.0,87.51,23.31,4.76,0.0
20230105:1603,1211457.5,558.0,73.68,23.28,5.45,0.0
20230105:1703,929390.0,429.0,59.89,23.33,5.86,0.0
20230105:1803,590920.0,279.0,46.19,23.39,5.59,0.0
20230105:1903,121165.0,71.0,32.63,23.31,5.03,0.0
20230105:2003,379225.0,190.0,19.28,23.16,4.21,0.0
20230105:2103,4702.5,10.0,6.24,23.04,3.93,0.0
20230105:2203,0.0,0.0,0.0,23.11,2.55,0.0
20230105:2303,0.0,0.0,0.0,23.15,2.76,0.0
20230106:0003,0.0,0.0,0.0,23.17,2.9,0.0
20230106:0103,0.0,0.0,0.0,23.17,2.83,0.0
20230106:0203,0.0,0.0,0.0,23.12,3.59,0.0
20230106:0303,0.0,0.0,0.0,23.09,4.55,0.0
20230106:0403,0.0,0.0,0.0,23.01,5.24,0.0
20230106:0503,0.0,0.0,0.0,22.97,5.45,0.0
20230106:0603,0.0,0.0,0.0,22.95,5.24,0.0
20230106:0703,0.0,0.0,0.0,22.91,4.83,0.0
20230106:0803,0.0,0.0,0.0,22.92,4.83,0.0
20230106:0903,108350.0,66.0,10.75,23.04,4.97,0.0
20230106:1003,348562.5,173.0,23.93,23.05,4.48,0.0
20230106:1103,636625.0,299.0,37.37,23.16,4.76,0.0
20230106:1203,1013292.5,466.0,51.0,23.23,5.38,0.0
20230106:1303,573485.0,271.0,64.74,23.27,6.34,0.0
20230106:1403,749512.5,348.0,78.55,23.23,7.31,0.0
20230106:1503,728255.0,338.0,87.59,23.22,8.34,0.0
20230106:1603,1180245.0,537.0,73.77,23.15,9.17,0.0
20230106:1703,746185.0,345.0,59.98,23.15,9.38,0.0
20230106:1803,698170.0,324.0,46.27,23.19,8.62,0.0
20230106:1903,797665.0,367.0,32.7,23.16,8.28,0.0
20230106:2003,262405.0,135.0,19.34,23.13,8.0,0.0
20230106:2103,192.5,6.0,6.29,23.13,7.17,0.0
20230106:2203,0.0,0.0,0.0,22.99,6.83,0.0
20230106:2303,0.0,0.0,0.0,22.92,6.76,0.0
20230107:0003,0.0,0.0,0.0,22.96,6.48,0.0
20230107:0103,0.0,0.0,0.0,22.96,6.14,0.0
20230107:0203,0.0,0.0,0.0,22.92,5.86,0.0
20230107:0303,0.0,0.0,0.0,22.9,6.28,0.0
20230107:0403,0.0,0.0,0.0,22.88,6.48,0.0
20230107:0503,0.0,0.0,0.0,22.8,6.62,0.0
20230107:0603,0.0,0.0,0.0,22.63,6.76,0.0
20230107:0703,0.0,0.0,0.0,22.43,7.31,0.0
20230107:0803,0.0,0.0,0.0,22.32,7.66,0.0
20230107:0903,139425.0,82.0,10.62,22.29,7.86,0.0
20230107:1003,373532.5,182.0,23.8,21.17,7.17,0.0
20230107:1103,411455.0,198.0,37.25,21.23,7.03,0.0
20230107:1203,477757.5,227.0,50.88,21.5,6.97,0.0
20230107:1303,848677.5,389.0,64.63,21.56,6.9,0.0
20230107:1403,547607.5,258.0,78.44,22.0,6.69,0.0
20230107:1503,976112.5,448.0,87.67,22.04,5.93,0.0
20230107:1603,557535.0,263.0,73.86,22.15,5.59,0.0
20230107:1703,1114162.5,510.0,60.06,22.22,5.38,0.0
20230107:1803,255420.0,131.0,46.34,22.31,5.59,0.0
20230107:1903,96222.5,59.0,32.76,22.34,6.41,0.0
20230107:2003,28627.5,25.0,19.39,22.42,6.14,0.0
20230107:2103,8882.5,13.0,6.33,22.37,5.45,0.0
20230107:2203,0.0,0.0,0.0,22.16,4.41,0.0
20230107:2303,0.0,0.0,0.0,22.19,4.9,0.0
20230108:0003,0.0,0.0,0.0,22.18,5.93,0.0
20230108:0103,0.0,0.0,0.0,22.19,6.55,0.0
20230108:0203,0.0,0.0,0.0,22.17,6.62,0.0
20230108:0303,0.0,0.0,0.0,22.05,6.69,0.0
20230108:0403,0.0,0.0,0.0,22.12,6.76,0.0
20230108:0503,0.0,0.0,0.0,22.12,6.76,0.0
20230108:0603,0.0,0.0,0.0,22.06,6.62,0.0
20230108:0703,0.0,0.0,0.0,22.04,6.41,0.0
20230108:0803,0.0,0.0,0.0,21.99,6.21,0.0
20230108:0903,100925.0,62.0,10.49,22.07,6.07,0.0
20230108:1003,398090.0,194.0,23.67,22.16,5.72,0.0
20230108:1103,498960.0,237.0,37.13,21.83,5.31,0.0
20230108:1203,701195.0,326.0,50.77,22.04,5.17,0.0
20230108:1303,933542.5,429.0,64.52,22.03,5.52,0.0
20230108:1403,1391500.0,639.0,78.34,22.22,5.1,0.0
20230108:1503,1493222.5,687.0,87.74,22.24,5.03,0.0
20230108:1603,810150.0,376.0,73.94,22.4,4.62,0.0
20230108:1703,882200.0,408.0,60.14,22.43,4.55,0.0
20230108:1803,835917.5,387.0,46.41,22.45,4.14,0.0
20230108:1903,750117.5,349.0,32.83,22.56,3.93,0.0
20230108:2003,30360.0,26.0,19.44,22.66,3.59,0.0
20230108:2103,3465.0,9.0,6.37,22.68,3.1,0.0
20230108:2203,0.0,0.0,0.0,22.54,2.48,0.0
20230108:2303,0.0,0.0,0.0,22.54,2.14,0.0
20230109:0003,0.0,0.0,0.0,22.55,2.34,0.0
20230109:0103,0.0,0.0,0.0,22.49,2.28,0.0
20230109:0203,0.0,0.0,0.0,22.42,2.55,0.0
20230109:0303,0.0,0.0,0.0,22.32,2.69,0.0
20230109:0403,0.0,0.0,0.0,22.27,2.76,0.0
20230109:0503,0.0,0.0,0.0,22.23,2.21,0.0
20230109:0603,0.0,0.0,0.0,22.21,1.66,0.0
20230109:0703,0.0,0.0,0.0,22.22,1.1,0.0
20230109:0803,0.0,0.0,0.0,22.28,0.55,0.0
20230109:0903,108102.5,66.0,10.35,22.33,0.34,0.0
20230109:1003,523682.5,254.0,23.54,22.47,1.38,0.0
20230109:1103,871832.5,407.0,37.01,22.52,1.86,0.0
20230109:1203,1164350.0,543.0,50.65,22.72,2.07,0.0
20230109:1303,1091970.0,517.0,64.41,22.92,1.03,0.0
20230109:1403,1675437.5,806.0,78.23,23.03,1.38,0.0
20230109:1503,1802542.5,858.0,87.79,23.13,2.48,0.0
