Latitude (decimal degrees):	-21.673
Longitude (decimal degrees):	-42.080
Elevation (m):	65
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	2750.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0003,0.0,0.0,0.0,23.62,1.72,0.0
20230101:0103,0.0,0.0,0.0,23.01,1.45,0.0
20230101:0203,0.0,0.0,0.0,22.38,1.24,0.0
20230101:0303,0.0,0.0,0.0,21.91,1.03,0.0
20230101:0403,0.0,0.0,0.0,21.72,0.9,0.0
20230101:0503,0.0,0.0,0.0,21.8,0.76,0.0
20230101:0603,0.0,0.0,0.0,21.96,0.62,0.0
20230101:0703,0.0,0.0,0.0,22.53,0.34,0.0
20230101:0803,0.0,0.0,0.0,22.41,0.34,0.0
20230101:0903,137857.5,81.0,10.88,22.65,0.21,0.0
20230101:1003,538642.5,264.0,24.1,23.93,0.14,0.0
20230101:1103,233997.5,124.0,37.58,25.18,0.41,0.0
20230101:1203,1109157.5,536.0,51.24,26.35,0.55,0.0
20230101:1303,533912.5,263.0,65.0,27.56,0.83,0.0
20230101:1403,306322.5,159.0,78.8,28.48,0.76,0.0
20230101:1503,393002.5,199.0,86.94,28.52,0.69,0.0
20230101:1603,992062.5,485.0,73.33,28.76,0.83,0.0
20230101:1703,574942.5,282.0,59.54,28.77,2.0,0.0
20230101:1803,848925.0,403.0,45.81,26.36,2.62,0.0
20230101:1903,1008287.5,477.0,32.21,25.76,2.21,0.0
20230101:2003,79942.5,52.0,18.82,25.59,1.72,0.0
20230101:2103,0.0,5.0,5.74,25.24,1.45,0.0
20230101:2203,0.0,0.0,0.0,24.71,1.52,0.0
20230101:2303,0.0,0.0,0.0,24.11,1.38,0.0
20230102:0003,0.0,0.0,0.0,23.68,1.38,0.0
20230102:0103,0.0,0.0,0.0,23.4,1.66,0.0
20230102:0203,0.0,0.0,0.0,23.2,1.72,0.0
20230102:0303,0.0,0.0,0.0,23.08,1.66,0.0
20230102:0403,0.0,0.0,0.0,22.76,1.45,0.0
20230102:0503,0.0,0.0,0.0,22.5,1.17,0.0
