Latitude (decimal degrees):	-23.013
Longitude (decimal degrees):	-44.345
Elevation (m):	260
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	2750.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0003,0.0,0.0,0.0,22.32,1.38,0.0
20230101:0103,0.0,0.0,0.0,22.06,1.72,0.0
20230101:0203,0.0,0.0,0.0,22.3,1.79,0.0
20230101:0303,0.0,0.0,0.0,22.01,1.66,0.0
20230101:0403,0.0,0.0,0.0,21.94,2.0,0.0
20230101:0503,0.0,0.0,0.0,21.42,2.14,0.0
20230101:0603,0.0,0.0,0.0,21.43,2.14,0.0
20230101:0703,0.0,0.0,0.0,21.3,2.0,0.0
20230101:0803,0.0,0.0,0.0,21.13,1.72,0.0
20230101:0903,106755.0,64.0,9.37,21.81,1.59,0.0
20230101:1003,682852.5,335.0,22.44,23.11,1.24,0.0
20230101:1103,984527.5,467.0,35.81,24.19,0.76,0.0
20230101:1203,1459865.0,708.0,49.37,25.05,0.41,0.0
20230101:1303,1868652.5,921.0,63.06,25.58,1.03,0.0
20230101:1403,1892797.5,929.0,76.82,25.35,1.52,0.0
20230101:1503,1922332.5,930.0,89.38,24.64,2.28,0.0
20230101:1603,1873162.5,906.0,75.58,24.73,2.07,0.0
20230101:1703,1890872.5,912.0,61.82,25.1,2.0,0.0
20230101:1803,1553282.5,739.0,48.14,25.33,1.72,0.0
20230101:1903,126307.5,74.0,34.59,24.83,2.14,0.0
20230101:2003,35447.5,29.0,21.25,24.66,2.14,0.0
20230101:2103,2282.5,8.0,8.21,23.21,1.79,0.0
20230101:2203,0.0,0.0,0.0,22.91,2.07,0.0
20230101:2303,0.0,0.0,0.0,22.83,2.14,0.0
20230102:0003,0.0,0.0,0.0,22.91,2.55,0.0
20230102:0103,0.0,0.0,0.0,22.73,2.97,0.0
20230102:0203,0.0,0.0,0.0,22.38,2.28,0.0
20230102:0303,0.0,0.0,0.0,21.99,2.07,0.0
20230102:0403,0.0,0.0,0.0,21.67,2.34,0.0
20230102:0503,0.0,0.0,0.0,21.32,2.21,0.0
20230102:0603,0.0,0.0,0.0,21.15,2.07,0.0
20230102:0703,0.0,0.0,0.0,20.94,1.93,0.0
20230102:0803,0.0,0.0,0.0,20.7,2.0,0.0
20230102:0903,94462.5,58.0,9.24,21.08,2.14,0.0
20230102:1003,695282.5,339.0,22.32,23.09,2.55,0.0
20230102:1103,1142790.0,533.0,35.69,24.29,2.62,0.0
20230102:1203,1558865.0,737.0,49.25,25.33,2.34,0.0
20230102:1303,1957367.5,950.0,62.95,25.89,2.14,0.0
20230102:1403,2182950.0,1080.0,76.72,26.52,2.21,0.0
20230102:1503,2159520.0,1067.0,89.47,27.24,2.48,0.0
20230102:1603,2113677.5,1039.0,75.67,26.88,2.41,0.0
20230102:1703,1930830.0,936.0,61.91,26.03,2.14,0.0
20230102:1803,1323877.5,625.0,48.22,25.86,2.41,0.0
20230102:1903,1148647.5,539.0,34.67,25.98,2.97,0.0
20230102:2003,102657.5,63.0,21.32,25.72,2.83,0.0
20230102:2103,138160.0,100.0,8.27,24.64,2.69,0.0
20230102:2203,0.0,0.0,0.0,23.58,2.21,0.0
20230102:2303,0.0,0.0,0.0,23.36,2.28,0.0
20230103:0003,0.0,0.0,0.0,23.49,2.55,0.0
20230103:0103,0.0,0.0,0.0,23.78,2.97,0.0
20230103:0203,0.0,0.0,0.0,23.91,2.76,0.0
20230103:0303,0.0,0.0,0.0,23.51,2.83,0.0
20230103:0403,0.0,0.0,0.0,23.14,3.1,0.0
20230103:0503,0.0,0.0,0.0,22.97,3.1,0.0
20230103:0603,0.0,0.0,0.0,22.79,3.24,0.0
20230103:0703,0.0,0.0,0.0,22.59,3.17,0.0
20230103:0803,0.0,0.0,0.0,22.52,2.97,0.0
20230103:0903,89485.0,56.0,9.12,22.9,3.03,0.0
20230103:1003,569002.5,278.0,22.19,24.43,3.17,0.0
20230103:1103,581267.5,279.0,35.57,25.44,2.97,0.0
20230103:1203,1467702.5,694.0,49.14,26.27,2.62,0.0
20230103:1303,1265687.5,605.0,62.83,26.94,2.28,0.0
20230103:1403,1875390.0,925.0,76.61,27.78,1.93,0.0
20230103:1503,1774382.5,893.0,89.54,28.23,0.9,0.0
20230103:1603,1396395.0,694.0,75.77,27.84,0.34,0.0
20230103:1703,1617247.5,805.0,62.0,26.85,0.34,0.0
20230103:1803,1437040.0,696.0,48.31,26.79,0.9,0.0
20230103:1903,1103740.0,529.0,34.75,27.54,1.38,0.0
20230103:2003,57750.0,41.0,21.39,26.32,1.31,0.0
20230103:2103,3410.0,9.0,8.33,24.86,0.55,0.0
20230103:2203,0.0,0.0,0.0,24.14,1.24,0.0
20230103:2303,0.0,0.0,0.0,23.79,0.28,0.0
20230104:0003,0.0,0.0,0.0,23.29,1.38,0.0
20230104:0103,0.0,0.0,0.0,23.19,2.0,0.0
20230104:0203,0.0,0.0,0.0,23.65,1.79,0.0
20230104:0303,0.0,0.0,0.0,23.63,1.86,0.0
20230104:0403,0.0,0.0,0.0,23.84,1.52,0.0
20230104:0503,0.0,0.0,0.0,23.97,1.52,0.0
20230104:0603,0.0,0.0,0.0,23.98,1.66,0.0
20230104:0703,0.0,0.0,0.0,23.96,1.93,0.0
20230104:0803,0.0,0.0,0.0,24.06,2.34,0.0
20230104:0903,99412.5,61.0,8.99,23.91,2.69,0.0
20230104:1003,447562.5,222.0,22.07,25.36,2.41,0.0
20230104:1103,528385.0,257.0,35.45,26.21,2.07,0.0
20230104:1203,327332.5,167.0,49.02,26.7,1.38,0.0
20230104:1303,534682.5,262.0,62.72,26.46,0.83,0.0
20230104:1403,1122742.5,546.0,76.5,25.93,0.34,0.0
20230104:1503,1799985.0,911.0,89.57,26.54,0.34,0.0
20230104:1603,1345465.0,656.0,75.86,26.97,1.03,0.0
20230104:1703,1669057.5,806.0,62.09,27.29,2.21,0.0
20230104:1803,476712.5,233.0,48.39,26.3,3.38,0.0
20230104:1903,491590.0,239.0,34.82,25.36,2.62,0.0
20230104:2003,35722.5,29.0,21.46,23.28,2.28,0.0
20230104:2103,3492.5,9.0,8.39,22.36,2.07,0.0
20230104:2203,0.0,0.0,0.0,22.41,1.93,0.0
20230104:2303,0.0,0.0,0.0,22.2,1.93,0.0
20230105:0003,0.0,0.0,0.0,22.28,2.07,0.0
20230105:0103,0.0,0.0,0.0,22.12,2.21,0.0
20230105:0203,0.0,0.0,0.0,22.14,2.41,0.0
20230105:0303,0.0,0.0,0.0,21.68,2.48,0.0
20230105:0403,0.0,0.0,0.0,21.62,2.34,0.0
20230105:0503,0.0,0.0,0.0,21.52,2.14,0.0
20230105:0603,0.0,0.0,0.0,21.35,2.0,0.0
20230105:0703,0.0,0.0,0.0,21.31,2.34,0.0
20230105:0803,0.0,0.0,0.0,21.15,2.83,0.0
20230105:0903,30635.0,26.0,8.85,21.13,3.17,0.0
20230105:1003,223987.5,117.0,21.94,21.32,2.76,0.0
20230105:1103,210732.5,111.0,35.33,21.19,2.69,0.0
20230105:1203,428752.5,207.0,48.91,21.22,2.76,0.0
20230105:1303,503442.5,240.0,62.61,21.43,2.9,0.0
20230105:1403,514607.5,245.0,76.39,21.72,3.24,0.0
20230105:1503,792055.0,368.0,89.55,21.49,3.45,0.0
20230105:1603,883492.5,410.0,75.95,22.11,3.66,0.0
20230105:1703,648505.0,303.0,62.17,21.22,3.86,0.0
20230105:1803,267877.5,136.0,48.47,21.06,3.93,0.0
20230105:1903,75872.5,49.0,34.9,20.84,3.79,0.0
20230105:2003,36245.0,29.0,21.52,20.75,3.66,0.0
20230105:2103,134695.0,93.0,8.44,20.56,3.66,0.0
20230105:2203,0.0,0.0,0.0,20.4,3.38,0.0
20230105:2303,0.0,0.0,0.0,20.43,3.59,0.0
20230106:0003,0.0,0.0,0.0,20.41,3.72,0.0
20230106:0103,0.0,0.0,0.0,20.28,3.45,0.0
20230106:0203,0.0,0.0,0.0,20.1,3.38,0.0
20230106:0303,0.0,0.0,0.0,20.08,3.17,0.0
20230106:0403,0.0,0.0,0.0,19.87,3.1,0.0
20230106:0503,0.0,0.0,0.0,19.79,2.97,0.0
20230106:0603,0.0,0.0,0.0,19.6,3.03,0.0
20230106:0703,0.0,0.0,0.0,19.56,3.1,0.0
20230106:0803,0.0,0.0,0.0,19.45,3.17,0.0
20230106:0903,6187.5,11.0,8.72,19.49,3.24,0.0
20230106:1003,72160.0,47.0,21.81,19.7,3.03,0.0
20230106:1103,296752.5,148.0,35.2,19.7,3.03,0.0
20230106:1203,338332.5,166.0,48.79,19.79,3.66,0.0
20230106:1303,397925.0,192.0,62.5,20.02,3.86,0.0
20230106:1403,483175.0,229.0,76.29,19.9,3.72,0.0
20230106:1503,437002.5,209.0,89.48,19.95,3.66,0.0
20230106:1603,607337.5,283.0,76.04,19.96,4.14,0.0
20230106:1703,507100.0,239.0,62.26,19.92,4.55,0.0
20230106:1803,304425.0,151.0,48.55,19.69,4.55,0.0
20230106:1903,97460.0,59.0,34.97,19.62,4.14,0.0
20230106:2003,36492.5,29.0,21.58,19.51,3.52,0.0
20230106:2103,3575.0,9.0,8.49,19.26,3.03,0.0
20230106:2203,0.0,0.0,0.0,18.56,2.21,0.0
20230106:2303,0.0,0.0,0.0,18.56,1.72,0.0
20230107:0003,0.0,0.0,0.0,18.42,1.38,0.0
20230107:0103,0.0,0.0,0.0,18.47,1.31,0.0
20230107:0203,0.0,0.0,0.0,18.51,1.24,0.0
20230107:0303,0.0,0.0,0.0,18.58,0.83,0.0
20230107:0403,0.0,0.0,0.0,18.64,0.69,0.0
20230107:0503,0.0,0.0,0.0,18.68,0.9,0.0
20230107:0603,0.0,0.0,0.0,18.75,0.97,0.0
20230107:0703,0.0,0.0,0.0,18.73,0.83,0.0
20230107:0803,0.0,0.0,0.0,18.71,0.83,0.0
20230107:0903,27390.0,24.0,8.58,18.7,0.97,0.0
20230107:1003,116737.5,68.0,21.69,19.08,0.62,0.0
20230107:1103,185130.0,99.0,35.08,19.08,0.62,0.0
20230107:1203,410767.5,199.0,48.67,19.47,0.55,0.0
20230107:1303,677160.0,317.0,62.39,19.56,1.17,0.0
20230107:1403,469122.5,224.0,76.18,19.69,1.66,0.0
20230107:1503,834707.5,387.0,89.37,19.96,2.14,0.0
20230107:1603,915227.5,423.0,76.13,20.13,2.48,0.0
20230107:1703,939510.0,433.0,62.34,20.05,2.62,0.0
20230107:1803,325517.5,161.0,48.62,20.24,2.76,0.0
20230107:1903,78127.5,50.0,35.03,20.24,2.76,0.0
20230107:2003,36410.0,29.0,21.64,19.91,2.41,0.0
20230107:2103,3575.0,9.0,8.54,19.67,2.0,0.0
20230107:2203,0.0,0.0,0.0,19.19,1.45,0.0
20230107:2303,0.0,0.0,0.0,19.21,1.24,0.0
20230108:0003,0.0,0.0,0.0,19.38,0.9,0.0
20230108:0103,0.0,0.0,0.0,19.49,0.69,0.0
20230108:0203,0.0,0.0,0.0,19.46,0.62,0.0
20230108:0303,0.0,0.0,0.0,19.34,0.62,0.0
20230108:0403,0.0,0.0,0.0,19.24,0.76,0.0
20230108:0503,0.0,0.0,0.0,19.54,0.76,0.0
20230108:0603,0.0,0.0,0.0,19.54,0.62,0.0
20230108:0703,0.0,0.0,0.0,19.61,0.69,0.0
20230108:0803,0.0,0.0,0.0,19.81,0.69,0.0
20230108:0903,61737.5,42.0,8.45,19.91,0.76,0.0
20230108:1003,210402.5,111.0,21.56,20.58,0.69,0.0
20230108:1103,774427.5,364.0,34.96,20.97,0.48,0.0
20230108:1203,670175.0,318.0,48.56,21.33,0.34,0.0
20230108:1303,855580.0,405.0,62.28,21.76,0.41,0.0
20230108:1403,954140.0,451.0,76.07,21.98,0.76,0.0
20230108:1503,928400.0,439.0,89.23,22.43,0.97,0.0
20230108:1603,694347.5,329.0,76.21,22.36,1.24,0.0
20230108:1703,445747.5,216.0,62.42,22.05,1.66,0.0
20230108:1803,286247.5,145.0,48.69,21.49,1.38,0.0
20230108:1903,100815.0,61.0,35.1,20.91,1.24,0.0
20230108:2003,36217.5,29.0,21.69,20.72,1.31,0.0
20230108:2103,3547.5,9.0,8.58,20.47,1.1,0.0
20230108:2203,0.0,0.0,0.0,20.01,1.17,0.0
20230108:2303,0.0,0.0,0.0,20.19,0.97,0.0
20230109:0003,0.0,0.0,0.0,20.37,1.1,0.0
20230109:0103,0.0,0.0,0.0,20.5,1.52,0.0
20230109:0203,0.0,0.0,0.0,20.6,1.17,0.0
20230109:0303,0.0,0.0,0.0,20.53,0.48,0.0
20230109:0403,0.0,0.0,0.0,20.57,0.48,0.0
20230109:0503,0.0,0.0,0.0,20.41,0.55,0.0
20230109:0603,0.0,0.0,0.0,20.41,0.48,0.0
20230109:0703,0.0,0.0,0.0,20.38,0.55,0.0
20230109:0803,0.0,0.0,0.0,20.41,0.69,0.0
20230109:0903,27115.0,24.0,8.31,20.5,0.97,0.0
20230109:1003,249947.5,129.0,21.43,21.24,1.03,0.0
20230109:1103,363110.0,179.0,34.84,21.36,1.24,0.0
